0,0.0,244.36,292.2,244.36,292.2,0.0,0.0
1,1.0,68.0,291.0,145.0,300.0,2.0,3.0
2,2.0,433.0,410.0,498.0,451.0,1.0,3.0
3,3.0,391.0,32.0,255.0,433.0,2.0,1.0
4,4.0,130.0,60.0,481.0,258.0,2.0,3.0
5,5.0,253.0,389.0,201.0,301.0,2.0,2.0
6,6.0,230.0,241.0,436.0,17.0,2.0,1.0
7,7.0,333.0,194.0,245.0,124.0,2.0,1.0
8,8.0,403.0,107.0,380.0,408.0,1.0,1.0
9,9.0,48.0,249.0,206.0,212.0,2.0,2.0
10,10.0,14.0,457.0,340.0,88.0,2.0,1.0
11,11.0,427.0,199.0,187.0,280.0,1.0,1.0
12,12.0,221.0,311.0,451.0,359.0,1.0,3.0
13,13.0,390.0,392.0,397.0,345.0,1.0,1.0
14,14.0,1.0,356.0,377.0,191.0,1.0,2.0
15,15.0,228.0,136.0,44.0,224.0,1.0,3.0
16,16.0,369.0,410.0,339.0,260.0,2.0,3.0
17,17.0,117.0,302.0,55.0,398.0,1.0,3.0
18,18.0,483.0,52.0,83.0,266.0,1.0,2.0
19,19.0,461.0,162.0,430.0,201.0,1.0,3.0
20,20.0,15.0,11.0,189.0,250.0,1.0,1.0
21,21.0,13.0,332.0,375.0,15.0,2.0,3.0
22,22.0,277.0,4.0,240.0,22.0,1.0,3.0
23,23.0,480.0,451.0,157.0,360.0,2.0,3.0
24,24.0,195.0,351.0,434.0,314.0,1.0,2.0
25,25.0,110.0,496.0,303.0,296.0,2.0,1.0
26,26.0,216.0,371.0,201.0,331.0,1.0,3.0
27,27.0,14.0,270.0,87.0,86.0,1.0,3.0
28,28.0,113.0,391.0,257.0,116.0,2.0,1.0
29,29.0,224.0,480.0,6.0,394.0,2.0,2.0
30,30.0,253.0,283.0,102.0,276.0,1.0,3.0
31,31.0,119.0,176.0,471.0,440.0,1.0,3.0
32,32.0,118.0,346.0,280.0,118.0,1.0,2.0
33,33.0,112.0,389.0,207.0,263.0,2.0,3.0
34,34.0,235.0,487.0,176.0,487.0,1.0,3.0
35,35.0,148.0,474.0,433.0,295.0,2.0,2.0
36,36.0,11.0,213.0,180.0,235.0,2.0,1.0
37,37.0,428.0,469.0,465.0,137.0,2.0,3.0
38,38.0,284.0,472.0,337.0,280.0,2.0,2.0
39,39.0,328.0,51.0,311.0,490.0,2.0,1.0
40,40.0,95.0,322.0,373.0,2.0,2.0,1.0
41,41.0,370.0,440.0,196.0,401.0,1.0,1.0
42,42.0,151.0,61.0,438.0,420.0,1.0,2.0
43,43.0,380.0,170.0,488.0,453.0,2.0,1.0
44,44.0,458.0,369.0,480.0,379.0,2.0,1.0
45,45.0,498.0,364.0,262.0,414.0,2.0,2.0
46,46.0,256.0,479.0,66.0,265.0,2.0,2.0
47,47.0,495.0,216.0,398.0,287.0,1.0,3.0
48,48.0,259.0,424.0,105.0,218.0,2.0,1.0
49,49.0,466.0,343.0,486.0,28.0,1.0,2.0
50,50.0,97.0,155.0,246.0,445.0,2.0,3.0
